cmavo,English definition,English notes,English gloss,My definition,My notes,My gloss
ma'oi,selma'o quote; quotes a word (a cmavo) and uses it to name a selma'o.,Example: ma'oi coi is equivalent to COI. See also {ra'oi}. ,,,,
ma'u,digit/number: plus sign; positive number; default any positive.,,,,,
mai,"utterance ordinal suffix; converts a number to an ordinal, such as an item or paragraph number.",,,,,
mau,"zmadu modal, 1st place (a greater)                exceeded by ... ; usually a sumti modifier.",,,,,
mau'i,attitudinal: stronger intensity attitudinal relativizer ,"Specifies a stronger intensity - relative to any previously specified intensity of the same UI/cmavo. CAI2 after CAI specifies an absolute intensity - but the CAI2 specifies the relative shift from the regular value. CAI after CAI2 specifies an relative value - and the CAI denotes the relative amount interval size. See also {me'ai}, {dau'i}, {sai}",,,,
me,convert sumti to selbri/tanru element; x1 is specific to [sumti] in aspect x2.,,,,,
me'a,"mleca modal, 1st place (a lesser)                 undercut by ... ; usually a sumti modifier.",,,,,
me'ai,attitudinal: weaker intensity attitudinal relativizer ,"Specifies a stronger intensity - relative to any previously specified intensity of the same UI/cmavo. See also {mau'i}, {dau'i}, {ru'e}",,,,
me'au,Convert abstract predicate sumti back to predicate,Has an inverse: {me'ei},,,,
me'e,"cmene modal, 1st place (requires quote)           with name ...; so-called ...",,,,,
me'ei,Article for abstract predicate sumti,Has an inverse: {me'au},,,,
me'i,digit/number: less than.,,,,,
me'o,the mathematical expression (unevaluated); convert unevaluated mathematical expression to sumti.,,,,,
me'oi,non-Lojban brivla,Quick way to borrow foreign words into Lojban. Also known as stage-0 fu'ivla. Equivalent to {me'ei} {zo'oi}.,,,,
me'u,elidable terminator: end sumti that was converted to selbri; usually elidable.,,,,,
mei,convert number to cardinality selbri; x1 is the mass formed from set x2 whose n member(s) are x3.,"[x1 is a mass with N components x3 composing set x2; x2 is an n-tuple (x2 is completely specified) (= {selmei} for reordered places); x1 forms an n-some; x3 (not necessarily a complete enumeration) are among the members of x2]; See also {cmima}, {gunma}, cmavo list {moi}.",,,,
mi,pro-sumti: me/we the speaker(s)/author(s); identified by self-vocative.,,,,,
mi'a,"pro-sumti: me/we the speaker(s)/author(s) & others unspecified, but not you, the listener.",,,,,
mi'ai,we; I (the speaker) and at least one another person,"English we. {mi'a}, {mi'o} and {ma'a} are more specific cases of {mi'ai}. {mi'ai} = {mi} {jo'u} {da'ai}",,,,
mi'e,self vocative: self-introduction - denial of identity; identifies speaker.,,,,,
mi'i,"non-logical interval connective: ordered components: ... center, ... range surrounding center.",,,,,
mi'o,pro-sumti: me/we the speaker(s)/author(s) & you the listener(s).,,,,,
mi'u,discursive: ditto.,See also {mintu}.,,,,
mo,pro-bridi: bridi/selbri/brivla question.,,,,,
mo'a,digit/number: too few; subjective.,,,,,
mo'e,convert sumti to mex operand; sample use in story arithmetic: [3 apples] + [3 apples] = what.,,,,,
mo'i,mark motions in space-time.,,,,,
mo'o,"higher-order utterance ordinal suffix; converts a number to ordinal, usually a section/chapter.",,,,,
mo'u,interval event contour: at the natural ending point of ...; completive              |    >|<.,,,,,
moi,convert number to ordinal selbri; x1 is (n)th member of set x2 ordered by rule x3.,,,,,
mu,digit/number: 5 (digit) [five].,,,,,
mu'a,discursive: for example - omitting - end examples.,See also {mupli}.,,,,
mu'e,abstractor: achievement (event) abstractor; x1 is the event-as-a-point/achievement of [bridi].,,,,,
mu'ei,Converts PA into tense; in [number (usually nonspecific)] possible worlds/alternate histories where [sumti (du'u)] is true,Includes what may have happened if the past were different from the actual past. See {ba'oi},,,,
mu'i,"mukti modal, 1st place                            because of motive ...",,,,,
mu'o,vocative: over (response OK) - more to come.,,,,,
mu'u,"mupli modal, 1st place                            exemplified by ...",,,,,
my,letteral for m.,,,,,
na,bridi contradictory negator; scope is an entire bridi; logically negates in some cmavo compounds.,,,,,
na'a,cancel all letteral shifts.,,,,,
na'e,contrary scalar negator: other than ...; not ...; a scale or set is implied.,,,,,
na'ei,Contradictory negation of a predicate,"The quantifier negation laws can be stated as: naku ro da zo'u da broda .ijo [su'o] da zo'u da na'ei broda, naku [su'o] da zo'u da broda .ijo ro da zo'u da na'ei broda.  ",,,,
na'i,discursive: metalinguistic negator.,"See also {naldra}, {nalmapti}.",,,,
na'o,tense interval modifier: characteristically/typically; tense/modal; defaults as time tense.,,,,,
na'u,"convert selbri to mex operator; used to create less-used operators using fu'ivla, lujvo, etc.",,,,,
nai,attached to cmavo to negate them; various negation-related meanings.,,,,,
nau,tense: refers to current space/time reference absolutely.,,,,,
ne,non-restrictive relative phrase marker: which incidentally is associated with ...,,,,,
ne'a,location tense relation/direction; approximating/next to ...,,,,,
ne'e,polar opposite scalar negator; equivalent to {to'e} but in selma'o CAI,See also {to'e},,,,
ne'i,location tense relation/direction; within/inside of/into ...,,,,,
ne'o,unary mathematical operator: factorial; a!.,,,,,
ne'u,location tense relation/direction; south of.,,,,,
nei,pro-bridi: repeats the current bridi.,,,,,
nei'o,pro-sumti: this paragraph,,,,,
ni,abstractor: quantity/amount abstractor; x1 is quantity/amount of [bridi] measured on scale x2.,,,,,
ni'a,location tense relation/direction; downwards/down from ...,,,,,
ni'e,convert selbri to mex operand; used to create new non-numerical quantifiers; e.g. herd of oxen.,,,,,
ni'i,"nibli modal, 1st place                            logically; logically because ...",,,,,
ni'o,discursive: paragraph break; introduce new topic.,,,,,
ni'u,digit/number: minus sign; negative number); default any negative.,,,,,
no,digit/number: 0 (digit) [zero].,,,,,
no'a,pro-bridi: repeats the bridi in which this one is embedded.,,,,,
no'e,midpoint scalar negator: neutral point between je'a and to'e; not really.,,,,,
no'i,discursive: paragraph break; resume previous topic.,,,,,
no'o,digit/number: typical/average value.,,,,,
no'oi,Selbri incidental relative clause; attaches to a selbri with the ke'a being 'me'ei the attached selbri',"Cf. {me'ei}, {me'au}, {noi}, {po'oi}.",,,,
no'u,non-restrictive appositive phrase marker: which incidentally is the same thing as ...,,,,,
noi,non-restrictive relative clause; attaches subordinate bridi with incidental information.,,,,,
nu,abstractor: generalized event abstractor; x1 is state/process/achievement/activity of [bridi].,Terminated with {kei}.,,,,
nu'a,convert mathematical expression (mex) operator to a selbri/tanru component.,,,,,
nu'e,vocative: promise - promise release - un-promise.,,,,,
nu'i,start forethought termset construct; marks start of place structure set with logical connection.,,,,,
nu'o,modal aspect: can but has not; unrealized potential.,,,,,
nu'u,elidable terminator: end forethought termset; usually elidable except with following sumti.,,,,,
ny,letteral for n.,,,,,
o,logical connective: sumti afterthought biconditional/iff/if-and-only-if.,,,,,
o'a,attitudinal: pride - modesty/humility - shame.,"See also {jgira}, {cumla}, {ckeji}.",,,,
o'ai,vocative: slightly surprised greetings,"See also {xai}, {coi}, {co'oi}",,,,
o'e,attitudinal: closeness - distance.,"See also {cnijbi}, {cnikansa}.",,,,
o'i,attitudinal: caution - rashness.,"See also {capyrivbi}, {capfanta}, {srerivbi}, {srefanta}, {naldarsi}, {seljde}.",,,,
o'o,attitudinal: patience - mere tolerance - anger.,"See also {fengu}, {to'ersteba}, {de'acni}",,,,
o'u,attitudinal: relaxation - composure - stress.,"See also {surla}, {cnilanxe}, {dunku}.",,,,
oi,attitudinal: complaint - pleasure.,"See also {pante}, {pluka}, {kufra}.",,,,
pa,digit/number: 1 (digit) [one].,,,,,
pa'a,"panra modal, 1st place (parallel; shared property) similarly; in addition to ...",,,,,
pa'e,discursive: justice - prejudice.,"See also {tcinydracu'a}, {tcinydrapai}, {vudypai}.",,,,
pa'i,binary mathematical operator: ratio; [the ratio of a to b].,,,,,
pa'o,location tense relation/direction; transfixing/passing through ...,,,,,
pa'u,"pagbu modal, 1st place                            having component ...",,,,,
pai,digit/number: pi (approximately 3.1416...).,,,,,
pau,discursive: optional question premarker.,See also {preti}.,,,,
pe,restrictive relative phrase marker: which is associated with ...; loosest associative/possessive.,,,,,
pe'a,marks a construct as figurative (non-literal/metaphorical) speech/text.,,,,,
pe'e,marks the following connective as joining termsets.,,,,,
pe'i,evidential: I opine (subjective claim).,                  See also {jinvi}.,,,,
pe'o,forethought flag for mathematical expression (mex) Polish (forethought) operator.,,,,,
pe'u,vocative: please.,,,,,
pei,attitudinal: attitudinal question; how do you feel about it? with what intensity?.,,,,,
pi,digit/number: radix (number base) point; default decimal.,,,,,
pi'a,n-ary mathematical operator: operands are vectors to be treated as matrix rows.,,,,,
pi'ai,Prefix multiplication of unit selbri,"Cf. {te'ai}. Used to construct selbri for units such as coulombs, which is pi'ai xampo snidu [ke'e] which is x1 is measured in Coulombs (Ampere-seconds) as x2 (li) etc. Since pi'ai is prefix, pi'ai mitre snidu grake [ke'e] is m s g, etc.; separate multipliers are not necessary.",,,,
pi'e,"digit/number:separates digits for base >16, not current standard, or variable (e.g. time, date).",,,,,
pi'i,n-ary mathematical operator: times; multiplication operator; [(((a * b) * c) * ...)].,,,,,
pi'o,"pilno modal, 1st place                            used by ...",,,,,
pi'u,non-logical connective: cross product; Cartesian product of sets.,,,,,
po,restrictive relative phrase marker: which is specific to ...; normal possessive physical/legal.,,,,,
po'e,restrictive relative phrase marker: which belongs to ... ; inalienable possession.,,,,,
po'i,"porsi modal, 1st place (in order)                 sequentially; in the sequence ...",,,,,
po'o,"discursive: uniquely, only, solely: the only relevant case.","See also {pamei}, {mulno}, {frica}.",,,,
po'oi,selbri restrictive relative clause; attaches to a selbri with the ke'a being me'ei the attached-selbri,"Cf. {me'ei}, {me'au}, {no'oi}, {poi}.",,,,
po'u,restrictive appositive phrase marker: which is the same thing as.,,,,,
poi,restrictive relative clause; attaches subordinate bridi with identifying information to a sumti.,,,,,
pu,time tense relation/direction: did [selbri]; before/prior to [sumti]; default past tense.,,,,,
pu'a,"pluka modal, 1st place                            pleased by ...",,,,,
pu'au,tense: refers to past of current space/time reference absolutely,before the time of {nau},,,,
pu'e,"pruce modal, 1st place (in manner 1)              by process ...",,,,,
pu'i,modal aspect: can and has; demonstrated potential.,,,,,
pu'o,interval event contour: in anticipation of ...;  until ... ; inchoative         ----|     |.,,,,,
pu'u,abstractor: process (event) abstractor; x1 is process of [bridi] proceeding in stages x2.,,,,,
py,letteral for p.,,,,,
ra,"pro-sumti: a recent sumti before the last one, as determined by back-counting rules.",,,,,
ra'a,"srana modal, 1st place                            pertained to by ... (generally more specific).",,,,,
ra'e,digit/number: repeating digits (of a decimal) follow.,,,,,
ra'i,"krasi modal, 1st place                            from source/origin/starting point ...",,,,,
ra'o,flag GOhA to indicate pro-assignment context updating for all pro-assigns in referenced bridi.,,,,,
ra'oi,single-word rafsi quote; quotes a single word delimited by pauses (in speech) or whitespace (in writing) and treats it as a rafsi,Useful for quoting rafsi that aren't legal words on their own. See http://www.lojban.org/tiki/Unspeakable+rafsi+gotcha for details.,,,,
ra'u,discursive: chiefly - equally - incidentally.,"See also {ralju}, {vajni}.",,,,
rai,"traji modal, 1st place                            with superlative ...",,,,,
rau,digit/number: enough; subjective.,,,,,
re,digit/number: 2 (digit) [two].,,,,,
re'a,unary mathematical operator: matrix transpose/dual; A*.,,,,,
re'e,emotion category/modifier: religious/spiritual/worship - sacrilege.,See also {lijda}.,,,,
re'i,vocative: ready to receive - not ready to receive.,,,,,
re'o,location tense relation/direction; adjacent to/touching/contacting ...,,,,,
re'u,converts number to an objectively quantified ordinal tense interval modifier; defaults to time.,,,,,
ri,"pro-sumti: the last sumti, as determined by back-counting rules.",,,,,
ri'a,"rinka modal, 1st place (phys./mental)             causal because ...",,,,,
ri'e,attitudinal modifier: release of emotion - emotion restraint.,"See also {cniri'u}, {cnicru}.",,,,
ri'i,"lifri modal, 1st place patient/passive case tag; happens to...,experienced by...,with passive...",,,,,
ri'o,trinary mathematical operator: [integral of a with respect to b over range c].,,,,,
ri'u,location tense relation/direction; rightwards/to the right of ...,,,,,
ro,"digit/number: each, all.",,,,,
ro'a,emotion category/modifier: social - antisocial.,See also {jikca}.,,,,
ro'e,emotion category/modifier: mental - mindless.,See also {menli}.,,,,
ro'i,emotion category/modifier: emotional - denying emotion.,See also {cinmo}.,,,,
ro'o,emotion category/modifier: physical - denying physical.,See also {xadni}.,,,,
ro'u,emotion category/modifier: sexual - sexual abstinence.,See also {cinse}.,,,,
roi,converts number to an objectively quantified tense interval modifier; defaults to time tense.,,,,,
ru,"pro-sumti: a remote past sumti, before all other in-use backcounting sumti.",,,,,
ru'a,evidential: I postulate.,See also {sruma}.,,,,
ru'e,attitudinal: weak intensity attitude modifier.,,,,,
ru'i,tense interval modifier: continuously; subjective tense/modal; defaults as time tense.,,,,,
ru'o,shift letterals to Cyrillic alphabet.,,,,,
ru'u,location tense relation/direction; surrounding/annular ...,,,,,
ry,letteral for r.,,,,,
sa,erase complete or partial utterance; next word shows how much erasing to do.,,,,,
sa'a,discursive: material inserted by editor/narrator (bracketed text).,See also {setca}.,,,,
sa'ai,start quote of replacement for recent mistakenly uttered text,See {le'ai}.,,,,
sa'e,discursive: precisely speaking - loosely speaking.,"See also {satci}, {jibni}.",,,,
sa'ei,Converts following cmevla or zoi-quote into onomatopoeia. (bam! crash! kapow! etc.),"Narrower term than {tai'i}. See also {sance}, {ci'oi}, {ki'ai}.",,,,
sa'i,n-ary mathematical operator: operands are vectors to be treated as matrix columns.,,,,,
sa'o,trinary mathematical operator: [derivative of a with respect to b of degree c].,,,,,
sa'u,discursive: simply - elaborating.,"See also {sampu}, {pluja}.",,,,
sai,attitudinal: moderate intensity attitude modifier.,,,,,
sau,"sarcu modal, 1st place                            requiring ...",,,,,
se,2nd conversion; switch 1st/2nd places.,,,,,
se'a,attitudinal modifier: self-sufficiency - dependency.,"See also {sezysei}, {kantcu}.",,,,
se'e,"following digits code a character (in ASCII, Unicode, etc.).",,,,,
se'i,attitudinal modifier: self-oriented - other-oriented.,"See also {sevzi}, {drata}.",,,,
se'o,"evidential: I know by internal experience (dream, vision, or personal revelation).",See also {senva}.,,,,
se'u,elidable terminator: end discursive bridi or mathematical precedence;usually elidable.,,,,,
sei,start discursive (metalinguistic) bridi.,,,,,
si,"erase the last Lojban word, treating non-Lojban text as a single word.",,,,,
si'a,discursive: similarly.,"See also {simsa}, {panra}.",,,,
si'au,evidential: it seems that...,,,,,
si'e,convert number to portion selbri; x1 is an (n)th portion of mass/totality x2; (cf. gunma).,,,,,
si'i,trinary mathematical operator: [sigma summation of a using variable b over range c].,,,,,
si'o,abstractor: idea/concept abstractor; x1 is x2's concept of [bridi].,,,,,
si'u,"sidju modal, 1st place (aiding agent)             aided by ...",,,,,
so,digit/number: 9 (digit) [nine].,,,,,
so'a,digit/number: almost all (digit/number).,,,,,
so'e,digit/number: most.,,,,,
so'i,digit/number: many.,,,,,
so'o,digit/number: several.,,,,,
so'u,digit/number: few.,,,,,
soi,discursive: reciprocal sumti marker; indicates a reciprocal relationship between sumti.,,,,,
su,erase to start of discourse or text; drop subject or start over.,,,,,
su'a,evidential: I generalize - I particularize; discursive: abstractly - concretely.,"See also {sucta}, {sucni'i}.",,,,
su'e,digit/number: at most (all); no more than.,,,,,
su'i,n-ary mathematical operator: plus; addition operator; [(((a + b) + c) + ...)].,,,,,
su'o,digit/number: at least (some); no less than.,,,,,
su'u,abstractor: generalized abstractor (how); x1 is [bridi] as a non-specific abstraction of type x2.,,,,,
sy,letteral for s.,,,,,
ta,pro-sumti: that there; nearby demonstrative it; indicated thing/place near listener.,,,,,
ta'a,vocative: interruption.,,,,,
ta'e,tense interval modifier: habitually; subjective tense/modal; defaults as time tense.,,,,,
ta'i,"tadji modal, 1st place (in manner 3)              methodically; by method ...",,,,,
ta'o,discursive: by the way - returning to main point.,"See also {denpa}, {cneterta'a}.",,,,
ta'u,discursive: expanding the tanru - making a tanru.,See also {tanru}.,,,,
tai,"tamsmi modal, 1st place (like)/(in manner 2)      resembling ...; sharing ideal form ...",{tamsmi} is x1 resembles x2 sharing ideal form/shape x3 in property x4,,,,
tai'i,Converts following cmevla or zoi-quote into phenomime. ,"Broader term than {ci'oi} and {sa'ei}. See also {tai}, {tamsmi}, {ki'ai}. Examples in some languages. jpn: しーん (shiin): soundlessly. kor: 슬슬 (seul-seul): gently. nep: हत्तपत्त (hattapatta): immediately.",,,,
tau,2-word letteral/shift: change case for next letteral only.,,,,,
te,3rd conversion; switch 1st/3rd places.,,,,,
te'a,binary mathematical operator: to the power; exponential; [a to the b power].,,,,,
te'ai,Exponentiation of unit selbri,"With {pi'ai}, this word can be used to construct unit selbri; see the notes of {pi'ai} for a simple example. A full example is the units of acceleration, pi'ai mitre snidu te'ai ni'u re [ke'e].",,,,
te'e,location tense relation/direction; edged by/edging up to ...,,,,,
te'o,digit/number: exponential e (approx 2.71828...).,,,,,
te'u,elidable terminator: end conversion between non-mex and mex; usually elidable.,,,,,
tei,composite letteral follows; used for multi-character letterals.,,,,,
ti,pro-sumti: this here; immediate demonstrative it; indicated thing/place near speaker.,,,,,
ti'a,location tense relation/direction; rearwards/to the rear of ...,,,,,
ti'e,evidential: I hear (hearsay).,"See also {tirna}, {sitna}, {tcidu}.",,,,
ti'i,"stidi modal, 1st place                            suggested by ...; proposed by ...",,,,,
ti'o,mathematical expression (mex) operator precedence (discursive).,,,,,
ti'u,"tcika modal, 1st place (for letters)              associated with time ... ; attach time stamp.",,,,,
to,left parenthesis; start of parenthetical note which must be grammatical Lojban text.,,,,,
to'a,lower-case letteral shift.,,,,,
to'ai,conversion: move 3rd place to 1st position. Everything else stays in the same order.,"Before: x1 x2 x3 x4 x5, after: x3 x1 x2 x4 x5. Has the same effect as te se. Proposed rafsi: -toz-",,,,
to'e,polar opposite scalar negator.,,,,,
to'i,open editorial unquote (within a quote); contains grammatical text; mark with editorial insert.,,,,,
to'o,location tense relation/direction; departing from/directly away from ...,,,,,
to'u,discursive: in brief - in detail.,"See also {tordu}, {clani}, {tcidu}.",,,,
toi,elidable terminator: right parenthesis/end unquote; seldom elidable except at end of text.,,,,,
tu,pro-sumti: that yonder; distant demonstrative it; indicated thing far from speaker&listener.,,,,,
tu'a,extracts a concrete sumti from an unspecified abstraction; equivalent to le nu/su'u [sumti] co'e.,,,,,
tu'e,start of multiple utterance scope; used for logical/non-logical/ordinal joining of sentences.,,,,,
tu'i,"stuzi modal, 1st place (used to situate letters)  associated with site ... ; label with location.",,,,,
tu'o,null operand (used in unary mekso operations).,See also {xo'e}.,,,,
tu'u,elidable terminator: end multiple utterance scope; seldom elidable.,,,,,
ty,letteral for t.,,,,,
u,logical connective: sumti afterthought whether-or-not.,,,,,
u'a,attitudinal: gain - loss.,"See also {jinga}, {selne'u}, {prali}, {cirko}.",,,,
u'e,attitudinal: wonder - commonplace.,"See also {manci}, {fadni}.",,,,
u'i,attitudinal: amusement - weariness.,"See also {selzdi}, {selxajmi}, {xalbo}.",,,,
u'o,attitudinal: courage - timidity - cowardice.,See also {virnu}.,,,,
u'u,attitudinal: repentance - lack of regret - innocence.,"See also {xenru}, {zugycni}.",,,,
ua,attitudinal: discovery - confusion/searching.,"See also {facki}, {cfipu}, {sisku}.",,,,
ue,attitudinal: surprise - not really surprised - expectation.,See also {spaji}.,,,,
ui,attitudinal: happiness - unhappiness.,See also {gleki}.,,,,
uo,attitudinal: completion - incompleteness.,"See also {mulno}, {mansa}, {fanmo}, {snada}.",,,,
uu,attitudinal: pity - cruelty.,See also {kecti}.,,,,
va,location tense distance: near to ... ; there at ...; a medium/small distance from ...,,,,,
va'a,unary mathematical operator: additive inverse; [- a].,,,,,
va'e,convert number to scalar selbri; x1 is at (n)th position on scale x2.,,,,,
va'i,discursive: in other words - in the same words.,See also {cneselsku}.,,,,
va'o,"vanbi modal, 1st place (conditions 1)             under conditions ...; in environment ...",,,,,
va'u,"xamgu modal, 1st place beneficiary case tag complement  benefiting from ...",,,,,
vai,digit/number: hex digit F (decimal 15) [fifteen].,,,,,
vau,"elidable: end of sumti in simple bridi; in compound bridi, separates common trailing sumti.",,,,,
ve,4th conversion; switch 1st/4th places.,,,,,
ve'a,location tense interval: a small/medium region of space.,,,,,
ve'e,location tense interval: the whole of space.,,,,,
ve'i,location tense interval: a tiny region of space.,,,,,
ve'o,right mathematical bracket.,,,,,
ve'u,location tense interval: a large region of space.,,,,,
vei,left mathematical bracket.,,,,,
vi,location tense distance: here at ... ; at or a very short/tiny distance from ...,,,,,
vi'a,dimensionality of space interval tense: 2-space interval; throughout an area.,,,,,
vi'e,dimensionality of space interval tense: 4-space interval; throughout a spacetime.,,,,,
vi'i,dimensionality of space interval tense: 1-space interval; along a line.,,,,,
vi'o,vocative: wilco (ack and will comply).,,,,,
vi'u,dimensionality of space interval tense: 3-space interval; throughout a space.,,,,,
vo,digit/number: 4 (digit) [four].,,,,,
vo'a,pro-sumti: repeats 1st place of main bridi of this sentence.,,,,,
vo'ai,conversion: move 4th place to 1st position. Everything else stays in the same order.,"Before: x1 x2 x3 x4 x5, after: x4 x1 x2 x3 x5. Has the same effect as ve te se. Proposed rafsi: -voz-",,,,
vo'e,pro-sumti: repeats 2nd place of main bridi of this sentence.,,,,,
vo'i,pro-sumti: repeats 3rd place of main bridi of this sentence.,,,,,
vo'o,pro-sumti: repeats 4th place of main bridi of this sentence.,,,,,
vo'u,pro-sumti: repeats 5th place of main bridi of this sentence.,,,,,
voi,non-veridical restrictive clause used to form complicated le-like descriptions using ke'a.,,,,,
vu,location tense distance: far from ... ; yonder at ... ; a long distance from ...,,,,,
vu'a,location tense relation/direction; west of.,,,,,
vu'e,attitudinal modifier: virtue - sin.,"See also {vrude}, {zungi}.",,,,
vu'i,sumti qualifier: the sequence made from set or composed of elements/components; order is vague.,,,,,
vu'o,joins relative clause/phrase to complete complex or logically connected sumti in afterthought.,,,,,
vu'u,n-ary mathematical operator: minus; subtraction operator; [(((a - b) - c) - ...)].,,,,,
vy,letteral for v.,,,,,
xa,digit/number: 6 (digit) [six].,,,,,
xa'o,opposite of za'o: event contour: refers to the portion of the event which occurs before the natural beginning; starting too early before ...; <----.,,,,,
xai,vocative: generalised vocative,"the most generalised member of selmaho COI roughly corresponding to Italian ciao, hi/bye, hey! simultaneously",,,,
xe,5th conversion; switch 1st/5th places.,,,,,
xei,digit/number: hex digit E (decimal 14) [fourteen],Used as an alternative to {rei} to avoid confusion with {re}.,,,,
xi,subscript; attaches a numer of letteral string following as a subscript onto grammar structures.,,,,,
xo,digit/number: number/digit/lerfu question.,,,,,
xo'a,Loglan toggle: Toggles text to TLI Loglan; marks following text as TLI Loglan.,The proposal also includes an experimental Loglan Little word ``hoa'' (which toggles text to Lojban).,,,,
xo'ai,conversion: move 5th place to 1st position. Everything else stays in the same order.,"Before: x1 x2 x3 x4 x5, after: x5 x1 x2 x3 x4. Has the same effect as xe ve te se. Proposed rafsi: -xoz-",,,,
xo'e,elliptical/unspecified number.,"See also {tu'o}, {xo}, {zo'e}, {co'e}, and {do'e}.",,,,
xo'i,"Extracts selbri from a tag, inverse of fi'o","xo'i bau is equivalent to bangu, xo'i fi'o broda is equivalent to broda",,,,
xo'o,attitudinal modifier: sarcastically - sincerely,There is no good attitudinal for sarcasm. Chosen for its similarity to {zo'o}.,,,,
xoi,converts bridi into nonce modal/sumti tag clause sharing common places with the main clause,1. The first place containing abstraction (if present in the predicate of the subordinate clause) is automatically applied to the whole bridi if not explicitly defined otherwise 2. If the first place is an object it's applied to the first place of the bridi. See also {fi'o},,,,
xu,discursive: true-false question.,,,,,
xy,letteral for x.,,,,,
y,hesitation noise; maintains the floor while speaker decides what to say next.,,,,,
y'y,letteral for '.,,,,,
za,time tense distance: medium distance in time.,,,,,
za'a,evidential: I observe.,"See also {zgana}, {lanli}.",,,,
za'ai,time tense distance: an unspecified distance in time,"Used to express a time distance without specifying any subjective notion about its size. May typically be used in a question when the subjective notion is not known. See also {za}, {zi}, {zu}, {ze'ai}",,,,
za'e,forethought nonce-word indicator; indicates next word is nonce-creation and may be nonstandard.,,,,,
za'i,abstractor: state (event) abstractor; x1 is continuous state of [bridi] being true.,,,,,
za'o,interval event contour: continuing too long after natural end of ...; superfective  |     ---->.,,,,,
za'u,digit/number: greater than.,,,,,
zai,2-word letteral/shift: alternate alphabet selector follows.,,,,,
zai'a,attitudinal modifier: observed emotion; preceding attitudinal is observed on listener,"Replaces recent questionable usage of dai, which should be reserved for situations in which the speaker also feels the emotion. ui nai zai'a - I see you are unhappy. (Note that observation is not limited to visual)",,,,
zau,"zanru modal, 1st place                            approved by ...",,,,,
ze,digit/number: 7 (digit) [seven].,,,,,
ze'a,time tense interval: a medium length of time.,,,,,
ze'ai,time tense interval: an unspecified amount of time,"Used to express a duration without specifying any subjective notion about its length. May typically be used in a question when the subjective notion is not known. See also {ze'a}, {ze'i}, {ze'u}, {ze'e}, {za'ai}",,,,
ze'e,time tense interval: the whole of time.,,,,,
ze'ei,nonce word with existing grammar,Binds two arbitrary words together to form a nonce word whose semantics are indicated by the left word and whose grammar is the same as that of the right word. Useful for creating function words without having to allocate experimental cmavo forms.,,,,
ze'i,time tense interval: an instantaneous/tiny/short amount of time.,,,,,
ze'o,location tense relation/direction; beyond/outward/receding from ...,,,,,
ze'u,time tense interval: a long amount of time.,,,,,
zei,joins preceding and following words into a lujvo.,,,,,
zi,time tense distance: instantaneous-to-short distance in time.,,,,,
zi'a,nonce-word indicator; indicates previous word is nonce-creation and may be nonstandard; equivalent to {za'e} but in selma'o UI,See also {za'e},,,,
zi'e,joins relative clauses which apply to the same sumti.,,,,,
zi'o,"pro-sumti: fills a sumti place, deleting it from selbri place structure;changes selbri semantics.",,,,,
zo,quote next word only; quotes a single Lojban word (not a cmavo compound or tanru).,,,,,
zo'a,location tense relation/direction; tangential to/passing by ...,,,,,
zo'au,cmene quote; quotes arbitrary number of adjacent cmevla or one selbri.,,,,,
zo'e,pro-sumti: an elliptical/unspecified value; has some value which makes bridi true.,,,,,
zo'ei,Something associated with; equivalent to ''zo'e pe''.,"There are a lot of cases where people use tu'a where they actually mean zo'ei; once I noticed the usefulness of such a word to elide whole chunks of sentences, I started wanting it all the time.  -camgusmis",,,,
zo'i,location tense relation/direction; nearer than .../inward/approaching from ...,,,,,
zo'o,attitudinal modifier: humorously - dully - seriously.,"See also {xajmi}, {junri}.",,,,
zo'oi,quote next non-Lojban word only; quotes a single non-Lojban word delimited by pauses (in speech) or whitespace (in writing),"See also {zo}, {zoi}, {la'oi}.",,,,
zo'u,marks end of logical prenex quantifiers/topic identification and start of sentence bridi.,,,,,
zoi,delimited non-Lojban quotation; the result treated as a block of text.,,,,,
zu,time tense distance: long distance in time.,,,,,
zu'a,location tense relation/direction; leftwards/to the left of ...,,,,,
zu'e,"zukte modal, 1st place (purposed agent)           with goal-seeking actor ...",,,,,
zu'i,pro-sumti: the typical sumti value for this place in this relationship; affects truth value.,,,,,
zu'o,abstractor: activity (event) abstractor; x1 is abstract activity of [bridi] composed of x2.,,,,,
zu'u,discursive: on the one hand - on the other hand.,"See also {karbi}, {frica}, {dukti}",,,,
zy,letteral for z.,,,,,
